,qid,url,title,desc,topic
894,267885310,https://otvet.mail.ru/question/267885310,"Как крестьяне жили и спали в хижинах,в долгую студёную зиму,до появления печей, без каминов не замерзая насмерть?",Без современного центрального отопления и бойлеров,Жизнь в России
895,267885323,https://otvet.mail.ru/question/267885323,Не могу купить игру в стим ,Денег достаточно но кнопки купить нет. И почему то такое сейчас у многих игр. Помогите пожалуйста ,Время игр
896,267885326,https://otvet.mail.ru/question/267885326,"10 яиц в КНДР стоят 11 руб, а в США 1100 руб. В КНДР всё бесплатно, кроме техники и продуктов животногo происхождения.","10 яиц в КНДР стоят 11 руб, а в США 1100 руб. В КНДР всё бесплатно, кроме техники и продуктов животногo происхождения.",Политические дебаты
897,267885328,https://otvet.mail.ru/question/267885328,А Спорим ! Что Вы Никогда не Сможете обмануть Кошку,"Было дело надо было капли дать ..ну от рева ..а фиг там ..как не прятал ..
Второе ..спрятал убитую птичку - хотел выкинуть - нашла ссука !",Лапки и хвосты
898,267885332,https://otvet.mail.ru/question/267885332,По поводу мультимедии на Ноутбуке,"Может вопрос страный, но задам. Через HDMI можно подключить, ноутбук к телевизору. Но будет ли работать Bluetooth-пульт, с Windows. Кнопки паузы и перемотки, и аеромишь / гироском курсора ? Да можно сказать не морочь себе голову, смотри на Android TV / Google TV / AOSP TV! Если очень коротко, Google хочет вырезать свободу установки APK в 2027 году! И покеда SmartTube, HDrezka, Anilibria TV App, LAMP!SHE, TorrServe  
На Windows никто не собираеться, отнимать EXE. А по поводу пульта, чтобы можно было скровати смотреть. Или прийдёться подключать длинокабельную мишку ? Просто подходит ли ноутбук на замену ТВ-приставки ? И я точно не буду переходить на Taizen или WebOS. Там небыло и не будет, свободы! Или что посоветуете купить / делать в 2027 году ?",Электроника и электротехника
899,267885338,https://otvet.mail.ru/question/267885338,Почему в британском сериале Один из нас 2023 года выпуска пытают и убивают только мальчиков ?,"Я про детей имею в виду. Это в 1 и в 5 серии . Что за сексизм развели , не могли девочку на эту роль найти что ли .",Сериалы и телешоу
900,267885345,https://otvet.mail.ru/question/267885345,Зачем и что делать с куки роблоксе,Н,Roblox
901,267885349,https://otvet.mail.ru/question/267885349,"Что будет, если закрыть больничный позже.","в день выписки я не смогу, только через 3 дня, меня выпишут?(я школьник)",Документы
902,267885353,https://otvet.mail.ru/question/267885353,Если да то какая это песня?,"Есть ли у вас песня, которую вы постоянно переслушиваете ради одного особенного момента, потому что он дарит вам настоящее счастье и радость?",Время музыки
903,267885361,https://otvet.mail.ru/question/267885361,"Потерял аккаунт, но почта не привязана 🤷","Я потерял аккаунт, а там была почта не привязана (это был мой старый аккаунт) я хочу его вернуть, но не могу, я забыл пароль. Я уже писал поддержке но она нечего не делает от слова совсем, мне пишет просто  1 и тоже-недостаточно информации, вам лучше создать новый аккаунт.
Можете помочь пожалуйста, я знаю можно через куки, но не знаю как да и боюсь за свой аккаунт, так что точно не куки.",Roblox
904,267885368,https://otvet.mail.ru/question/267885368,В чем смысл жизни?,"всем привет мне 14 лет, я трудный пацан в том плане что я курю и не электронки а именно сигареты. курить я начал из-за гнева и боли, каждый раз как меня бросала девушка я начинал курить и это вошло в привычку, мне на все похуй.я не настолько сильный лентяй если я чтото хочу то я могу поставить цель и добиться ее даже если придется перейти все границы. Я часто лежу на полу и плачу... И вспоминаю все что было в прошлом, все очень изменилось я бы хотел хоть раз попасть в прошлое чтоб многое переиграть. И часто задумываюсь что бы было еслиб меня не было в этом мире? А в чем смысл жизни? и до сих пор не  могу найти ответа... я часто иду на риски даже если они велики я ничего не боюсь... ",Зона Риска
905,267885376,https://otvet.mail.ru/question/267885376,Merryweather Security GTA5,"Почему наемники 
  это военные если они постоянно участвуют в вооруженных конфликтов в гта онлайн почему у них на флаге нарисован орел и красные что то ?",GTA
906,267885384,https://otvet.mail.ru/question/267885384,Хочу в армию,"все врачи проставили полностью здоров, окулист все запорол, зрение -5,5 левый глаз, -5,25 правый, категория годности В (годен в военное время) как пойти в армию, очень хочу
мне 17 лет",Армия России
907,267885392,https://otvet.mail.ru/question/267885392,"Где ещё использовался этот звук, ведь я уверен, он слишком знакомый или что вообще напоминает?","На моменте: 01:51-01:52 и 02:00-02-01
Ссылка на музыку (включайте ВПН): 
https://soundcloud.com/hexxarchive_3/esumi-x-islurwhenitalk-luci4-mix-so-annoyed-prod-4jay?in=yuurrr/sets/4jay&amp;utm_source=clipboard&amp;utm_medium=text&amp;utm_campaign=social_sharing",Время музыки
908,267885394,https://otvet.mail.ru/question/267885394,Помогите найти песню," играла в вк в подборке &#34;для вас&#34; протупил не добавил ее себе, помню ток название &#34;пепел трава&#34; а вот исполнителя не запомнил на превъю было что то зелёное",Время музыки
909,267885398,https://otvet.mail.ru/question/267885398,Проблема с мобильным интернетом мегафон ,"При работе загрузка очень медленная(2,3кб/с) не знаю как это исправить, но при загрузке какого то файла скорость повышается до 3мб/с",А сейчас что-то совсем другое
910,267885404,https://otvet.mail.ru/question/267885404,Всем привет!  Мы с другом — начинающие разработчики 💻 и создаём свой первый сервер 🖥,"Всем привет!
Мы с другом — начинающие разработчики 💻 и создаём свой первый сервер 🖥, точную копию ReallyWorld 🌍 в Minecraft Java 🎮.
Ищем в команду:
- плагинщиков 🔌  
- дизайнеров 🎨  
- билдеров 🏗 (строителей), готовых воплотить любые идеи  
- техадминов и модераторов 🛠👮‍♂️  
- пиар-менеджера 📢 для продвижения сервера  
⚠️ Оплаты нет.  
Нужны адекватные ✅, доброжелательные ☀️, ответственные 📋 люди, желающие участвовать ради удовольствия 😊 и помогать развивать первый проект 🚀.
Пишите в Telegram — ник @Vladik_grib123.",Дружба на века
911,267885410,https://otvet.mail.ru/question/267885410,"Турция Западная Азия, а остальные тюркские страны в Центральный Азии!?","Турция Западная Азия, а остальные тюркские страны в Центральный Азии!?",Отпуск мечты
912,267885411,https://otvet.mail.ru/question/267885411,Стоило бы такое фото выкладывать?,Стоило бы такое фото выкладывать?,А сейчас что-то совсем другое
913,267885413,https://otvet.mail.ru/question/267885413,"У девушки выделения зеленого цвета, что следует сделать мне?","После двух или трех месяцев перерыва мы с девушкой возобновили половую жизнь. Она принимает противозачаточные &#34;Джейна&#34;. Мы начали заниматься сексом перед ее месячными (за день-два). Через несколько дней она начала замечать выделения зеленого цвета из влагалища, но еще не была уверена, что они именно зеленые и свидетельстуют об инфекции, думала на плохое освещение или на месячные. Наш последний половой акт пришелся на последний день месячных, когда крови уже не должно было быть (либо должно было быть, но мало), и был прерван, потому что кровь была и ее было чересчур много. Позже, после этого раза, она и заметила ярко-зеленый цвет выделений и решила мне об этом сказать. Сходила к гинекологу, сдала мазок. Сама врач сказала, мол, партнер пусть дождется ваших анализов и к урологу пока не ходит. Пришли анализы, все в норме. Гинеколог пожала плечами, выписала свечи, какие-то таблетки за 2500₽. Предложила сдать еще какие-то углубленные анализы за 4500₽ и отпустила. Моя девушка сейчас проходит лечение, но есть страх, что я заражен, и если не страдаю заболеванием сам, то могу быть переносчиком заразы, из-за чего ей придется лечиться по-новой. Что мне следует сделать?",Пикантно о любви
914,267885419,https://otvet.mail.ru/question/267885419,"Турция, Казахстан, Узбекистан, Туркменистан, Кыргызстан хочеть воссоздать свой БРИКС!?","Турция, Казахстан, Узбекистан, Туркменистан, Кыргызстан хочеть воссоздать свой БРИКС!?",Отпуск мечты
915,267885425,https://otvet.mail.ru/question/267885425,Как называется игра тут на 0:52?,https://youtu.be/peOawHXDMoU?si=21zicng5ldL0HPDO,Время игр
916,267885433,https://otvet.mail.ru/question/267885433,"Почему маг Алёша,издевается над женщинами России,или это Альфия всё?","Почему маг Алёша,издевается над женщинами России,или это Альфия всё?",Уважаемый маг
917,267885439,https://otvet.mail.ru/question/267885439,Модель на фото,Как зовут модель?,А сейчас что-то совсем другое
918,267885447,https://otvet.mail.ru/question/267885447,Русеая свинота 🐷 Алкашня ,Русеая свинота 🐷 Алкашня ,А сейчас что-то совсем другое
919,267885452,https://otvet.mail.ru/question/267885452,Руская мразь помойка свинья 🐷 хрюкай молча ,Руская мразь помойка свинья 🐷 хрюкай молча ,Вопросы о фауне
920,267885460,https://otvet.mail.ru/question/267885460,Почему Путин  такой старый 70 лет ,"до сих пор на пенсию не ушел, а все работает еще? ",Политические дебаты
921,267885465,https://otvet.mail.ru/question/267885465,Почему в странах бывшего СССР суд всегда против простого человека ?,"Например 
1 Уголовное дело поступило в суд 100 % будет обвинительный приговор или будут назначены принудительные меры медицинского характера 
2 Дело об административном правонарушении поступило в суд 100 % будет назначено наказание 
3 Поступил материал в суд о недобровольной госпитализации 100 % человека госпитализируют 
4 Если человек обжалует действия полиции , врачей или других государственных структур или учреждений 100 % проиграет ",Закон и порядок
922,267885468,https://otvet.mail.ru/question/267885468,"Если перевести название менеджера max на русский и реверснуть то получается скам, оригинально?","Если перевести название менеджера max на русский и реверснуть то получается скам, оригинально?",Политические дебаты
923,267885472,https://otvet.mail.ru/question/267885472,Помогите решить сотник 9 класс математика,Решите пожалуйста с подробным решением,Сборная Домашка
924,267885476,https://otvet.mail.ru/question/267885476,Зачем говорить о депрессии на философии только усиливать её?,Зачем говорить о депрессии на философии только усиливать её?,Тягость бытия
925,267885479,https://otvet.mail.ru/question/267885479,Мне нравится Яндекс музыка 🪉,Мне нравится Яндекс музыка 🪉,Время музыки
926,267885489,https://otvet.mail.ru/question/267885489,Новичок в Геншин ,"помогите пожалуйста,я новинок в Генрих импакт и хочу составить отряд, но не знаю каких персов брать... 
Беннет 
син цю
яо яо
Лиза
Ноэль
кейа
рейзор
Мидзуки
Эмбер 
заранее спасибо",А сейчас что-то совсем другое
927,267885498,https://otvet.mail.ru/question/267885498,Как самому сделать примерно такую стрижку?,Как самому сделать примерно такую стрижку? У меня сильно больше волос. В некоторых местах есть просветы и волосы иногда приподнимаются в некоторых местах спереди,"Волосы, как искусство"
928,267885503,https://otvet.mail.ru/question/267885503,Почему по утрам нашествие пациентов из клиники им. Кащенко?,Судя по содержания вопросов. Некоторые и ночью заходят.,Мир и его люди
929,267885507,https://otvet.mail.ru/question/267885507,Кто каждый мой ответ лайкает признавайтесь мpaзи,Кто каждый мой ответ лайкает признавайтесь мpaзи,А сейчас что-то совсем другое
930,267885515,https://otvet.mail.ru/question/267885515,"Кто самая красивая среди азиаток (малайка, монголка, филиппинка, тайка, лаоска)!?","Кто самая красивая среди азиаток (малайка, монголка, филиппинка, тайка, лаоска)!?",Киномания
931,267885516,https://otvet.mail.ru/question/267885516,Небольшие инвестиции,"подскажите пожалуйста, куда можно вложить деньги, или же купить что-то, чтобы можно было потом продать, для получения дохода за месяц?",Деньги
932,267885519,https://otvet.mail.ru/question/267885519,Почему корейцы японцы и китайцы и монголы и якуты и вьетнамцы и еще что то одно лицо они что все Китайцы почему ?,Почему корейцы японцы и китайцы и монголы и якуты и вьетнамцы и еще что то одно лицо они что все Китайцы почему ?,Проблемы с кожей
933,267885526,https://otvet.mail.ru/question/267885526,Звук после убийства кс 1.6,"ищу пак звуков с женским голосом, но в версии русской озвучки. Перерыл весь инет кроме англ озвучки ( multikill, ultrakill, monsterkill, rampage, killingspree, holyshit, godlike) ничего нету. Если у кого то есть прошу помогите люди добрые",Время музыки
934,267885531,https://otvet.mail.ru/question/267885531,А чего хотите именно Вы? Что делает счастливым именно Вас? Всем Доброе Утро!)),А чего хотите именно Вы? Что делает счастливым именно Вас? Всем Доброе Утро!)),Психология и жизнь
935,267885532,https://otvet.mail.ru/question/267885532,Мистер мужчина вы уронили кошолкк,КАК НАЙТИ ГОЛОС ЭТОГО БОТА? ОЧЕНЬ НАДО,А сейчас что-то совсем другое
936,267885539,https://otvet.mail.ru/question/267885539,Помогите что со мной? я подросток до 16 лет,"в 3-5 классе дружила с самыми хулиганистыми пацанами с класса, потом они начаои наркоту употреблять я перестала с ними дружить. потом общалась с просто пацанами прикольными
потом я общалась с 2 подругами
2 недели назад (я в 7 классе) я общалась с пацанами но они воровали поэтому перестала
я вообще не понимаю, в позапрошлом году я пробовала вейп, и мне как то типо скиттлс вкуснее, нахера портить своё здоровье.
но вчера я опять попробовала, почему мне его опять захотелось попробовать? что за фигня?!
и мне опять хочется дружить с пацанами либо со девочками которых все называют шлюхами
что делать???",Никотиновый уголок
937,267885545,https://otvet.mail.ru/question/267885545,Восточная Европа отстала из за СССР? ,Восточная Европа отстала из за СССР? ,А сейчас что-то совсем другое
938,267885552,https://otvet.mail.ru/question/267885552,Расход трафика на безлимитном тарифе,"На теле2 подключил услугу безлимита на видео, т.к. выбрал основной пакет интернета. Оставалось там совсем немного гигабайт. По условиям, рутьюб, вк видео, вк музыка и ещё пара приложений. Через впн Ютьюб не смотрю. И вот стал юзать официальное приложение рутьюба (скачал из ру маркета) и вк музыки, и обратил внимание - трафик все равно ими расходуется и учитывается. Проверял. В итоге закончился, пакет полностью, я подключил ещё 5 гб, и они тоже стали расходоваться. Звоню оператору, там все проверили, говорят, услуга работает корректно, это что то у вас там. И чуть ли не смеются в открытую. А по факту за две недели я уплатил 700 руб (тариф), 200 руб услуга безлимита и 95 руб дополнительных 5 гб. У кого такая же проблема была с безлимитом, что с этим можно сделать? Почему съедается трафик? Там в условиях написано, что если используется какие то ссылки для просмотра, то может считать трафик, но мне формулировка не понятна, я просто смотрел видео или слушал треки через оф приложение...",Информационные технологии
939,267885562,https://otvet.mail.ru/question/267885562,"10 яиц в КНДР стоят 11 руб, а в США 1100 руб. В КНДР всё бесплатно, кроме техники и продуктов животногo происхождения.","10 яиц в КНДР стоят 11 руб, а в США 1100 руб. В КНДР всё бесплатно, кроме техники и продуктов животногo происхождения.",Политические дебаты
940,267885567,https://otvet.mail.ru/question/267885567,"Зашла в чат рулетку поболтать ,познакомилась с каким-то челом . В чем может быть подвох?","Познакомились в чат рулетку . Чел со Швейцарии 🤨 и это странно ,знает русский довольно хорошо ,но с акцентом.  Начали общаться в тг . Что может быть ? Чего остерегаться? И есть ли в этом опасность?
Само собой никаких личных данных, паролей ,нюдсов я ему не скину ",Бабочки в животе
941,267885568,https://otvet.mail.ru/question/267885568, почему я пuдopac???🧐🧐🧐🧐🧐🧐🧐🧐🧐, почему я пuдopac???🧐🧐🧐🧐🧐🧐🧐🧐🧐,А сейчас что-то совсем другое
942,267885572,https://otvet.mail.ru/question/267885572,ПРОБЛЕМА СО ВХОДОМ Mail ru!,"Проблема та что я не могу войти в аккаунт майла на компе, когда я ввожу почту мне предлагают какой-то код или куар код, я не знаю никакого кода и откуда он у меня.. у меня есть только пароль, но там нету выбора ввести пароль.
когда я вхожу через телефон и ввожу пароль меня просят подтвердить что это я, но когда я прохожу капчу и снова ввожу пароль, красным цветом показывается текст &#39;&#39;Попробуйте позже&#39;&#39;. У меня там много данных и паролей.",Сервисы в интернете
943,267885575,https://otvet.mail.ru/question/267885575,Люди вам вопрос кто такие РОМАНОВЫ?👾🌷,Люди вам вопрос кто такие РОМАНОВЫ?👾🌷,А сейчас что-то совсем другое
944,267885576,https://otvet.mail.ru/question/267885576,"Рисовал брелок с персом егорки, как-нибудь руки дойдут заказ оформить","Рисовал брелок с персом егорки, как-нибудь руки дойдут заказ оформить",Товары и маркетплейсы
945,267885584,https://otvet.mail.ru/question/267885584,"Взаимопонятны ли казахский, киргизский, туркменский язык между собой!?","Взаимопонятны ли казахский, киргизский, туркменский язык между собой!?",А сейчас что-то совсем другое
946,267885587,https://otvet.mail.ru/question/267885587,Пивет как дила,Пивет как дила,Политические дебаты
947,267885595,https://otvet.mail.ru/question/267885595,Что вы любите в своих близких¿👾🌷,Что вы любите в своих близких¿👾🌷,А сейчас что-то совсем другое
948,267885599,https://otvet.mail.ru/question/267885599,"Тюрки делятся на 3 ветви огузы (турки, туркмены), карлуки (узбеки), кыпчаки (казахи, киргизы)!?","Тюрки делятся на 3 ветви огузы (турки, туркмены), карлуки (узбеки), кыпчаки (казахи, киргизы)!?",А сейчас что-то совсем другое
949,267885605,https://otvet.mail.ru/question/267885605,"Кто управляет ИИ, тот властелин мира, ибо выключив Его начнется коллапс и выживут те, кто сохранил старые навыки?","Кто управляет ИИ, тот властелин мира, ибо выключив Его начнется коллапс и выживут те, кто сохранил старые навыки?",Философский вопрос
950,267885609,https://otvet.mail.ru/question/267885609,Средняя зарплата в ДНР с момента воссоединения с Россией увеличилась более чем в два раза,Диктатура Мордора лютует — заставляет получать зарплату и жить в новых квартирах,Политические дебаты
951,267885613,https://otvet.mail.ru/question/267885613,"Ленин забрал власть у эссерки Каплан , что бы она не стала иногетом?","Ленин забрал власть у эссерки Каплан , что бы она не стала иногетом?",Политические дебаты
952,267885617,https://otvet.mail.ru/question/267885617,"Почему на девушку засматриваются парни,которые любят понты???????","Почему на девушку засматриваются парни,которые любят понты???????",А сейчас что-то совсем другое
953,267885618,https://otvet.mail.ru/question/267885618,Не могу открыть DSaF ,"Что делать, установил новеллу DSaF (дневная смена Фредди) на телефон Blackview shark 8, а когда пытаюсь запустить, то пишет, что нечем открыть. Места на устройстве еще 9 гб",Смартфоны
954,267885619,https://otvet.mail.ru/question/267885619,Мне чмoдер мут дал я больше отвечатт не могу😡😡😡,Мне чмoдер мут дал я больше отвечатт не могу😡😡😡,А сейчас что-то совсем другое
955,267885623,https://otvet.mail.ru/question/267885623,Вы там ниафанарели случаем?:(,"Добра и здоровья.
Щас у нас утром +5...позавчера было +27 ...вы угораете надо мною штоли?:( 
Днём не больше десятки!!!
Где сентябрь и октябрь....что происходит то ?!?!?!?!?",Психология и жизнь
956,267885630,https://otvet.mail.ru/question/267885630,"Вопрос по музыке,чем важен фольклор в современной жизни ",Срочный ответ нужен ,Время музыки
957,267885634,https://otvet.mail.ru/question/267885634,Вопрос к знающим,Кто из четырех девушек нравится мужчине на 5 фото? ,Мир и его люди
958,267885640,https://otvet.mail.ru/question/267885640,Училка маразматичка поставила двойку за то что в телефон играл хотя я даже не сидел в нем,че делать бля к классухе идти не вариант ей похуй директору тоже похуй жаловаться некому чзх ????,Смартфоны
959,267885642,https://otvet.mail.ru/question/267885642,"Дамы, а кем вы работаете?","Дамы, а кем вы работаете?",А сейчас что-то совсем другое
960,267885649,https://otvet.mail.ru/question/267885649,Почему древние назвали наступившую эру Водолеем? Связано это с парниковым эффектом от промышленности или от места,положения Солнечной системы  в тентуре?,Философский вопрос
961,267885656,https://otvet.mail.ru/question/267885656,Всем добрае утро у меня телефон долбвеб че делать,"пропали все контакты,пытаюсь снова сохранить хотя бы пару-не сохраняет,попыталась уже от айклауда отключить и снова включить,теперь у меня сука просто в айклауде контакты не включаются. но зато через ватсап звонки показывает не просто номер,а то как записан контакт👍🏻👍🏻👍🏻👍🏻 перед этим он не хотел включаться мол мало памяти как оплачено так и нахуячено,в итоге когда соизволил включиться было 10гб свободно. спустя пару дней тока заметила что контактов нема",Смартфоны
962,267885665,https://otvet.mail.ru/question/267885665,Как обосрать всех руских свиней узких ,Как обосрать всех руских свиней узких ,Вопросы о фауне
963,267885676,https://otvet.mail.ru/question/267885676,Ии агенты урок цифры,"Кто-нибудь дайте сертификат ии 
Пжжппжжжжпжжжжпжпжпжппжжп
Ппжпжжпжпжжпжпжпжж",А сейчас что-то совсем другое
964,267885677,https://otvet.mail.ru/question/267885677,"Как древния ученыя Бхараты расчитали, что Кали юга длится боле 300 тыс. земных лет, ведь у них не было супер кампутеров?","Сандхья Сатья юги = 400 божественных лет
            Сатья юга = 4000 божественных лет
            Сандхьянса Сатьи юги = 400  божественных лет
            Сандхья Трета юги = 300 божественных лет
            Трета юга = 3000 божественных лет
            Сандхьянса Трета юги = 300 божественных лет
            Сандхья Двапара юги = 200 божественных лет
            Двапара юга = 2000 божественных лет
            Сандхьянсав Двапара юги = 200 божественных лет
            Сандхья Кали юги = 100 божественных лет
            Кали юга = 1000 божественных лет
            Сандхьянса Кали юги = 100 божественных лет
            1 махаюга = 12000 божественных лет
            1 божественный год = 360 лет людей
            1 махаюга = 360 x 12000 == 4 320000 лет
            1000 махаюг == 1 день Брахмы = 1 ночь Брахмы = 1 кальпа  (4320000000 лет чел.)
            14 Ману царствуют в течение дня Брахмы
1 манвантара (период Ману) = 12000 x 1000/14 = 857142 божественных лет или 308571428,5 солнечных лет.
            Один день на планете Брахмы, которая находится за пределами трех планетных систем, продолжается тысячу циклов из четырех юг, и столько же длится ночь Брахмы, в течение которого творец вселенной погружен в сон. В начале дня Брахмы творение снова создается.",Философский вопрос
965,267885684,https://otvet.mail.ru/question/267885684,Возврат яндекс маркета ,"Подскажите, при отправке возврата товара на яндекс маркете сообщили, что доступных способов возврата для меня нет, но можно оформить как посылку почтой России. А деньги за эту посылку сервис Яндекса возместит или нет, кто сталкивался? ",Товары и маркетплейсы
966,267885687,https://otvet.mail.ru/question/267885687,Почему камни в мочевом камни вызывают желание туалета? ,Почему камни в мочевом камни вызывают желание туалета? ,А сейчас что-то совсем другое
967,267885690,https://otvet.mail.ru/question/267885690,Меня укусил страус! Теперь я умру?,Меня укусил страус! Теперь я умру?,А сейчас что-то совсем другое
968,267885694,https://otvet.mail.ru/question/267885694,Почему Бэдкомедиан похож на кавказца? ,Почему Бэдкомедиан похож на кавказца? ,А сейчас что-то совсем другое
969,267885695,https://otvet.mail.ru/question/267885695,"Норм ли что на рабочем столе без включенных играх , у меня в диспетчер задачь карта нагруже на 46 процентов (40 градусов","Норм ли что на рабочем столе без включенных играх , у меня в диспетчер задачь карта нагруже на 46 процентов (40 градусов",Завод
970,267885699,https://otvet.mail.ru/question/267885699, што такое подлежащее и сказуемое🧐🧐🧐🧐🧐, што такое подлежащее и сказуемое🧐🧐🧐🧐🧐,Русский язык
971,267885706,https://otvet.mail.ru/question/267885706,Мне приснился сон где много чёрных котят и они мокрые ,"Я их из какого-то пакета достал. Их там в районе 5. Незаметно пронес домой. В пакете было много умерших. Очень много. И в один момент я ложусь и одного случайно раздавливаю. Встаю смотрю а там никого нет. Иду в ванну и они все в наполненой ванной лежат животом к верху. Я их достаю и резко просыпаюсь. 
Этот сон мне сниться уже не в первый раз. Это меня к чему-то готовят? ",Здоровый сон
972,267885710,https://otvet.mail.ru/question/267885710,"А че это вы мои комментарии не лайкаете, шушики шустропечатающие?","Хочу спросить почему здесь не борются с нацистскими сектантами??? Что это еще за дырка под каждым постом что то печатает не уважающая страну, народ и её до сих пор никто не удалил???",Мир и его люди
973,267885715,https://otvet.mail.ru/question/267885715,Что означает термин Третий рейх?,Что означает термин Третий рейх?,Политические дебаты
974,267885718,https://otvet.mail.ru/question/267885718, отец тушит об меня сигареты как быть???🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐, отец тушит об меня сигареты как быть???🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐,Зона Риска
975,267885724,https://otvet.mail.ru/question/267885724,Где скачать Sity car driving если нет денег на покупку в стиме ?,Где скачать Sity car driving если нет денег на покупку в стиме ?,Проблемы с ПК и интернетом
976,267885731,https://otvet.mail.ru/question/267885731,Помогите пожалуйста срочно ,Помогите пожалуйста срочно ,А сейчас что-то совсем другое
977,267885732,https://otvet.mail.ru/question/267885732,До каких лет платят алименты  в 2025?,До каких лет платят алименты  в 2025?,Закон и порядок
978,267885735,https://otvet.mail.ru/question/267885735,Почему женщины за 40 лет не следят за своей внешностью?,"Недавно был на улице и обратил внимание что многие женщины одеты в серые куртки, волосы не мытые, на лице уныние и безнадёга. Почему женщины запускают себя и перестают следить за собой? ",Тягость бытия
979,267885740,https://otvet.mail.ru/question/267885740,Почему некоторые затулинцы называют Россию чучелом?,"Я об этом раньше не знал, так убеждённо доказывают это",Политические дебаты
980,267885748,https://otvet.mail.ru/question/267885748,ЕГОР ЭТО НЕ МОЯ ШИЗА ,ЕГОР ЭТО НЕ МОЯ ШИЗА ,А сейчас что-то совсем другое
981,267885749,https://otvet.mail.ru/question/267885749,"Графф которого Шольц посадил , был прусского рода или германского?","Графф которого Шольц посадил , был прусского рода или германского?",Политические дебаты
982,267885756,https://otvet.mail.ru/question/267885756,Ищу программиста,"Нужно написать телеграм бота для VPS сервиса, inline кнопки, ЮКасса, все дела. Буду отчислять проценты с пополнений тысяч до 5-6.",Программирование
983,267885757,https://otvet.mail.ru/question/267885757,"Что делать, если к тебе подходят с угрозами ?)))","Что делать, если к тебе подходят с угрозами ?)))",А сейчас что-то совсем другое
984,267885762,https://otvet.mail.ru/question/267885762,А после смерти в школу надо ходить? А то мне уже надоела эта школа тупая,А после смерти в школу надо ходить? А то мне уже надоела эта школа тупая,А сейчас что-то совсем другое
985,267885765,https://otvet.mail.ru/question/267885765,Правда ли что у сердца есть лимит в 3 млрд ударов? Почему?,Правда ли что у сердца есть лимит в 3 млрд ударов? Почему?,А сейчас что-то совсем другое
986,267885775,https://otvet.mail.ru/question/267885775,"9. Из выбранного списка соотнесите эти слова с объектом и предметом:  •  Объект: Предмет, живое существо, явление. ","9. Из выбранного списка соотнесите эти слова с объектом и предметом:  •  Объект: Предмет, живое существо, явление. ",А сейчас что-то совсем другое
987,267885783,https://otvet.mail.ru/question/267885783,А вы инцел и девственник? ,А вы инцел и девственник? ,А сейчас что-то совсем другое
988,267885792,https://otvet.mail.ru/question/267885792,"Кто не скачет, тот москаль ","Кто не скачет, тот москаль ",А сейчас что-то совсем другое
989,267885799,https://otvet.mail.ru/question/267885799,"Приведите пример из истории, когда война заканчивалась после смерти правителя","Приведите пример из истории, когда война заканчивалась после смерти правителя",Политические дебаты
